Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,194 MB,53 MB,141 MB,16 MB,750000
customer,c_acb,194 MB,53 MB,141 MB,16 MB,750000
customer,c_nk,194 MB,53 MB,141 MB,5112 kB,750000
customer,c_ck,194 MB,53 MB,141 MB,16 MB,750000
lineitem,l_tax,9200 MB,4802 MB,4396 MB,644 MB,29999796
lineitem,lineitem_pkey,9200 MB,4802 MB,4396 MB,643 MB,29999796
lineitem,l_ok,9200 MB,4802 MB,4396 MB,371 MB,29999796
lineitem,l_pk,9200 MB,4802 MB,4396 MB,215 MB,29999796
lineitem,l_sk,9200 MB,4802 MB,4396 MB,203 MB,29999796
lineitem,l_pk_sk,9200 MB,4802 MB,4396 MB,290 MB,29999796
lineitem,l_sk_pk,9200 MB,4802 MB,4396 MB,290 MB,29999796
lineitem,l_q,9200 MB,4802 MB,4396 MB,644 MB,29999796
lineitem,l_extp,9200 MB,4802 MB,4396 MB,859 MB,29999796
lineitem,l_disc,9200 MB,4802 MB,4396 MB,644 MB,29999796
nation,n_rk,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_nk,56 kB,48 kB,8192 bytes,16 kB,25
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_tp,1626 MB,605 MB,1021 MB,224 MB,7500000
orders,orders_pkey,1626 MB,605 MB,1021 MB,161 MB,7500000
orders,o_ok,1626 MB,605 MB,1021 MB,161 MB,7500000
orders,o_ck,1626 MB,605 MB,1021 MB,60 MB,7500000
part,p_rp,231 MB,71 MB,160 MB,21 MB,1000000
part,part_pkey,231 MB,71 MB,160 MB,21 MB,1000000
part,p_s,231 MB,71 MB,160 MB,6816 kB,1000000
part,p_pk,231 MB,71 MB,160 MB,21 MB,1000000
partsupp,ps_pk,1042 MB,358 MB,684 MB,47 MB,4000000
partsupp,ps_sk,1042 MB,358 MB,684 MB,26 MB,4000000
partsupp,ps_pk_sk,1042 MB,358 MB,684 MB,86 MB,4000000
partsupp,ps_sk_pk,1042 MB,358 MB,684 MB,86 MB,4000000
partsupp,ps_avqt,1042 MB,358 MB,684 MB,27 MB,4000000
partsupp,partsupp_pkey,1042 MB,358 MB,684 MB,86 MB,4000000
region,r_rk,40 kB,32 kB,8192 bytes,16 kB,5
region,region_pkey,40 kB,32 kB,8192 bytes,16 kB,5
supplier,s_actb,12 MB,3704 kB,8896 kB,1112 kB,50000
supplier,supplier_pkey,12 MB,3704 kB,8896 kB,1112 kB,50000
supplier,s_sk,12 MB,3704 kB,8896 kB,1112 kB,50000
supplier,s_nk,12 MB,3704 kB,8896 kB,368 kB,50000
(37 rows)
