Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,idx_customer_c_address,336 MB,195 MB,141 MB,34 MB,750000
customer,idx_customer_c_comment,336 MB,195 MB,141 MB,73 MB,750000
customer,customer_pkey,336 MB,195 MB,141 MB,16 MB,750000
customer,idx_customer_c_mktsegment,336 MB,195 MB,141 MB,5192 kB,750000
customer,idx_customer_c_phone,336 MB,195 MB,141 MB,23 MB,750000
customer,idx_customer_c_name,336 MB,195 MB,141 MB,29 MB,750000
customer,c_acb,336 MB,195 MB,141 MB,16 MB,750000
lineitem,l_disc,9719 MB,5321 MB,4396 MB,644 MB,29999796
lineitem,l_extp,9719 MB,5321 MB,4396 MB,859 MB,29999796
lineitem,l_q,9719 MB,5321 MB,4396 MB,644 MB,29999796
lineitem,idx_lineitem_l_returnflag,9719 MB,5321 MB,4396 MB,198 MB,29999796
lineitem,idx_lineitem_l_linestatus,9719 MB,5321 MB,4396 MB,198 MB,29999796
lineitem,idx_lineitem_l_shipinstruct,9719 MB,5321 MB,4396 MB,205 MB,29999796
lineitem,idx_lineitem_l_shipmode,9719 MB,5321 MB,4396 MB,202 MB,29999796
lineitem,idx_lineitem_l_comment,9719 MB,5321 MB,4396 MB,1085 MB,29999796
lineitem,lineitem_pkey,9719 MB,5321 MB,4396 MB,643 MB,29999796
lineitem,l_tax,9719 MB,5321 MB,4396 MB,644 MB,29999796
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
nation,idx_nation_n_name,56 kB,48 kB,8192 bytes,16 kB,25
nation,idx_nation_n_comment,56 kB,48 kB,8192 bytes,16 kB,25
orders,idx_orders_o_orderpriority,2076 MB,1055 MB,1021 MB,50 MB,7500000
orders,idx_orders_o_clerk,2076 MB,1055 MB,1021 MB,53 MB,7500000
orders,o_tp,2076 MB,1055 MB,1021 MB,224 MB,7500000
orders,idx_orders_o_comment,2076 MB,1055 MB,1021 MB,518 MB,7500000
orders,orders_pkey,2076 MB,1055 MB,1021 MB,161 MB,7500000
orders,idx_orders_o_orderstatus,2076 MB,1055 MB,1021 MB,50 MB,7500000
part,idx_part_p_brand,312 MB,151 MB,160 MB,6912 kB,1000000
part,part_pkey,312 MB,151 MB,160 MB,21 MB,1000000
part,idx_part_p_type,312 MB,151 MB,160 MB,7040 kB,1000000
part,idx_part_p_container,312 MB,151 MB,160 MB,6920 kB,1000000
part,idx_part_p_comment,312 MB,151 MB,160 MB,21 MB,1000000
part,p_rp,312 MB,151 MB,160 MB,21 MB,1000000
part,p_s,312 MB,151 MB,160 MB,6816 kB,1000000
part,idx_part_p_name,312 MB,151 MB,160 MB,53 MB,1000000
part,idx_part_p_mfgr,312 MB,151 MB,160 MB,7032 kB,1000000
partsupp,idx_partsupp_ps_comment,1507 MB,823 MB,684 MB,624 MB,4000000
partsupp,idx_partsupp_ps_supplycost,1507 MB,823 MB,684 MB,86 MB,4000000
partsupp,partsupp_pkey,1507 MB,823 MB,684 MB,86 MB,4000000
partsupp,ps_avqt,1507 MB,823 MB,684 MB,27 MB,4000000
region,region_pkey,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_name,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_comment,56 kB,48 kB,8192 bytes,16 kB,5
supplier,supplier_pkey,21 MB,13 MB,8896 kB,1112 kB,50000
supplier,idx_supplier_s_comment,21 MB,13 MB,8896 kB,4432 kB,50000
supplier,idx_supplier_s_address,21 MB,13 MB,8896 kB,2312 kB,50000
supplier,idx_supplier_s_phone,21 MB,13 MB,8896 kB,1552 kB,50000
supplier,idx_supplier_s_name,21 MB,13 MB,8896 kB,2456 kB,50000
supplier,s_actb,21 MB,13 MB,8896 kB,1112 kB,50000
(48 rows)
