Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,178 MB,37 MB,141 MB,16 MB,750000
customer,c_ck,178 MB,37 MB,141 MB,16 MB,750000
customer,c_nk,178 MB,37 MB,141 MB,5112 kB,750000
lineitem,l_sk,7008 MB,2611 MB,4396 MB,203 MB,29999796
lineitem,l_ok,7008 MB,2611 MB,4396 MB,371 MB,29999796
lineitem,l_sd,7008 MB,2611 MB,4396 MB,199 MB,29999796
lineitem,l_pk_sk,7008 MB,2611 MB,4396 MB,290 MB,29999796
lineitem,lineitem_pkey,7008 MB,2611 MB,4396 MB,643 MB,29999796
lineitem,l_sk_pk,7008 MB,2611 MB,4396 MB,290 MB,29999796
lineitem,l_pk,7008 MB,2611 MB,4396 MB,215 MB,29999796
lineitem,l_rd,7008 MB,2611 MB,4396 MB,199 MB,29999796
lineitem,l_cd,7008 MB,2611 MB,4396 MB,199 MB,29999796
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_rk,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_nk,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_ok,1453 MB,432 MB,1021 MB,161 MB,7500000
orders,o_od,1453 MB,432 MB,1021 MB,51 MB,7500000
orders,orders_pkey,1453 MB,432 MB,1021 MB,161 MB,7500000
orders,o_ck,1453 MB,432 MB,1021 MB,60 MB,7500000
part,p_pk,203 MB,43 MB,160 MB,21 MB,1000000
part,part_pkey,203 MB,43 MB,160 MB,21 MB,1000000
partsupp,ps_sk,1015 MB,331 MB,684 MB,26 MB,4000000
partsupp,partsupp_pkey,1015 MB,331 MB,684 MB,86 MB,4000000
partsupp,ps_pk,1015 MB,331 MB,684 MB,47 MB,4000000
partsupp,ps_pk_sk,1015 MB,331 MB,684 MB,86 MB,4000000
partsupp,ps_sk_pk,1015 MB,331 MB,684 MB,86 MB,4000000
region,region_pkey,40 kB,32 kB,8192 bytes,16 kB,5
region,r_rk,40 kB,32 kB,8192 bytes,16 kB,5
supplier,s_nk,11 MB,2592 kB,8896 kB,368 kB,50000
supplier,s_sk,11 MB,2592 kB,8896 kB,1112 kB,50000
supplier,supplier_pkey,11 MB,2592 kB,8896 kB,1112 kB,50000
(31 rows)
