Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,39 MB,11 MB,28 MB,3312 kB,150000
customer,c_acb,39 MB,11 MB,28 MB,3312 kB,150000
customer,c_nk,39 MB,11 MB,28 MB,1040 kB,150000
customer,c_ck,39 MB,11 MB,28 MB,3312 kB,150000
lineitem,l_tax,1841 MB,961 MB,880 MB,129 MB,6001088
lineitem,lineitem_pkey,1841 MB,961 MB,880 MB,129 MB,6001088
lineitem,l_ok,1841 MB,961 MB,880 MB,74 MB,6001088
lineitem,l_pk,1841 MB,961 MB,880 MB,43 MB,6001088
lineitem,l_sk,1841 MB,961 MB,880 MB,41 MB,6001088
lineitem,l_pk_sk,1841 MB,961 MB,880 MB,58 MB,6001088
lineitem,l_sk_pk,1841 MB,961 MB,880 MB,58 MB,6001088
lineitem,l_q,1841 MB,961 MB,880 MB,129 MB,6001088
lineitem,l_extp,1841 MB,961 MB,880 MB,172 MB,6001088
lineitem,l_disc,1841 MB,961 MB,880 MB,129 MB,6001088
nation,n_rk,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_nk,56 kB,48 kB,8192 bytes,16 kB,25
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_tp,325 MB,121 MB,204 MB,45 MB,1500000
orders,orders_pkey,325 MB,121 MB,204 MB,32 MB,1500000
orders,o_ok,325 MB,121 MB,204 MB,32 MB,1500000
orders,o_ck,325 MB,121 MB,204 MB,12 MB,1500000
part,p_rp,47 MB,14 MB,32 MB,4416 kB,200000
part,part_pkey,47 MB,14 MB,32 MB,4408 kB,200000
part,p_s,47 MB,14 MB,32 MB,1392 kB,200000
part,p_pk,47 MB,14 MB,32 MB,4408 kB,200000
partsupp,ps_pk,209 MB,72 MB,137 MB,9640 kB,800000
partsupp,ps_sk,209 MB,72 MB,137 MB,5376 kB,800000
partsupp,ps_pk_sk,209 MB,72 MB,137 MB,17 MB,800000
partsupp,ps_sk_pk,209 MB,72 MB,137 MB,17 MB,800000
partsupp,ps_avqt,209 MB,72 MB,137 MB,5488 kB,800000
partsupp,partsupp_pkey,209 MB,72 MB,137 MB,17 MB,800000
region,r_rk,40 kB,32 kB,8192 bytes,16 kB,5
region,region_pkey,40 kB,32 kB,8192 bytes,16 kB,5
supplier,s_actb,2624 kB,808 kB,1784 kB,240 kB,10000
supplier,supplier_pkey,2624 kB,808 kB,1784 kB,240 kB,10000
supplier,s_sk,2624 kB,808 kB,1784 kB,240 kB,10000
supplier,s_nk,2624 kB,808 kB,1784 kB,88 kB,10000
(37 rows)
