Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,36 MB,7664 kB,28 MB,3312 kB,150000
customer,c_ck,36 MB,7664 kB,28 MB,3312 kB,150000
customer,c_nk,36 MB,7664 kB,28 MB,1040 kB,150000
lineitem,l_sk,1405 MB,525 MB,880 MB,41 MB,6001215
lineitem,l_ok,1405 MB,525 MB,880 MB,74 MB,6001215
lineitem,l_sd,1405 MB,525 MB,880 MB,41 MB,6001215
lineitem,l_pk_sk,1405 MB,525 MB,880 MB,58 MB,6001215
lineitem,lineitem_pkey,1405 MB,525 MB,880 MB,129 MB,6001215
lineitem,l_sk_pk,1405 MB,525 MB,880 MB,58 MB,6001215
lineitem,l_pk,1405 MB,525 MB,880 MB,43 MB,6001215
lineitem,l_rd,1405 MB,525 MB,880 MB,41 MB,6001215
lineitem,l_cd,1405 MB,525 MB,880 MB,41 MB,6001215
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_rk,56 kB,48 kB,8192 bytes,16 kB,25
nation,n_nk,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_ok,291 MB,87 MB,204 MB,32 MB,1500000
orders,o_od,291 MB,87 MB,204 MB,10 MB,1500000
orders,orders_pkey,291 MB,87 MB,204 MB,32 MB,1500000
orders,o_ck,291 MB,87 MB,204 MB,12 MB,1500000
part,p_pk,41 MB,8816 kB,32 MB,4408 kB,200000
part,part_pkey,41 MB,8816 kB,32 MB,4408 kB,200000
partsupp,ps_sk,203 MB,66 MB,137 MB,5376 kB,800000
partsupp,partsupp_pkey,203 MB,66 MB,137 MB,17 MB,800000
partsupp,ps_pk,203 MB,66 MB,137 MB,9640 kB,800000
partsupp,ps_pk_sk,203 MB,66 MB,137 MB,17 MB,800000
partsupp,ps_sk_pk,203 MB,66 MB,137 MB,17 MB,800000
region,region_pkey,40 kB,32 kB,8192 bytes,16 kB,5
region,r_rk,40 kB,32 kB,8192 bytes,16 kB,5
supplier,s_nk,2384 kB,568 kB,1784 kB,88 kB,10000
supplier,s_sk,2384 kB,568 kB,1784 kB,240 kB,10000
supplier,supplier_pkey,2384 kB,568 kB,1784 kB,240 kB,10000
(31 rows)
