Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,customer_pkey,35 MB,6624 kB,28 MB,3312 kB,150000
customer,c_acb,35 MB,6624 kB,28 MB,3312 kB,150000
lineitem,l_tax,1689 MB,809 MB,880 MB,129 MB,6001215
lineitem,lineitem_pkey,1689 MB,809 MB,880 MB,129 MB,6001215
lineitem,l_sd,1689 MB,809 MB,880 MB,41 MB,6001215
lineitem,l_cd,1689 MB,809 MB,880 MB,41 MB,6001215
lineitem,l_rd,1689 MB,809 MB,880 MB,41 MB,6001215
lineitem,l_q,1689 MB,809 MB,880 MB,129 MB,6001215
lineitem,l_extp,1689 MB,809 MB,880 MB,172 MB,6001215
lineitem,l_disc,1689 MB,809 MB,880 MB,129 MB,6001215
nation,nation_pkey,24 kB,16 kB,8192 bytes,16 kB,25
orders,o_tp,292 MB,87 MB,204 MB,45 MB,1500000
orders,orders_pkey,292 MB,87 MB,204 MB,32 MB,1500000
orders,o_od,292 MB,87 MB,204 MB,10 MB,1500000
part,p_s,42 MB,10216 kB,32 MB,1392 kB,200000
part,part_pkey,42 MB,10216 kB,32 MB,4408 kB,200000
part,p_rp,42 MB,10216 kB,32 MB,4416 kB,200000
partsupp,ps_avqt,160 MB,23 MB,137 MB,5488 kB,800000
partsupp,partsupp_pkey,160 MB,23 MB,137 MB,17 MB,800000
region,region_pkey,24 kB,16 kB,8192 bytes,16 kB,5
supplier,s_actb,2296 kB,480 kB,1784 kB,240 kB,10000
supplier,supplier_pkey,2296 kB,480 kB,1784 kB,240 kB,10000
(22 rows)
