Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,idx_customer_c_address,67 MB,39 MB,28 MB,6888 kB,150000
customer,idx_customer_c_name,67 MB,39 MB,28 MB,5968 kB,150000
customer,customer_pkey,67 MB,39 MB,28 MB,3312 kB,150000
customer,c_acb,67 MB,39 MB,28 MB,3312 kB,150000
customer,idx_customer_c_comment,67 MB,39 MB,28 MB,15 MB,150000
customer,idx_customer_c_mktsegment,67 MB,39 MB,28 MB,1048 kB,150000
customer,idx_customer_c_phone,67 MB,39 MB,28 MB,4640 kB,150000
lineitem,lineitem_pkey,2092 MB,1212 MB,880 MB,129 MB,6001215
lineitem,l_q,2092 MB,1212 MB,880 MB,129 MB,6001215
lineitem,idx_lineitem_l_returnflag,2092 MB,1212 MB,880 MB,40 MB,6001215
lineitem,l_disc,2092 MB,1212 MB,880 MB,129 MB,6001215
lineitem,l_extp,2092 MB,1212 MB,880 MB,172 MB,6001215
lineitem,idx_lineitem_l_linestatus,2092 MB,1212 MB,880 MB,40 MB,6001215
lineitem,l_rd,2092 MB,1212 MB,880 MB,41 MB,6001215
lineitem,l_cd,2092 MB,1212 MB,880 MB,41 MB,6001215
lineitem,l_sd,2092 MB,1212 MB,880 MB,41 MB,6001215
lineitem,idx_lineitem_l_comment,2092 MB,1212 MB,880 MB,242 MB,6001215
lineitem,idx_lineitem_l_shipmode,2092 MB,1212 MB,880 MB,40 MB,6001215
lineitem,idx_lineitem_l_shipinstruct,2092 MB,1212 MB,880 MB,41 MB,6001215
lineitem,l_tax,2092 MB,1212 MB,880 MB,129 MB,6001215
nation,idx_nation_n_name,56 kB,48 kB,8192 bytes,16 kB,25
nation,idx_nation_n_comment,56 kB,48 kB,8192 bytes,16 kB,25
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
orders,idx_orders_o_comment,427 MB,223 MB,204 MB,105 MB,1500000
orders,orders_pkey,427 MB,223 MB,204 MB,32 MB,1500000
orders,idx_orders_o_orderstatus,427 MB,223 MB,204 MB,10176 kB,1500000
orders,idx_orders_o_orderpriority,427 MB,223 MB,204 MB,10 MB,1500000
orders,idx_orders_o_clerk,427 MB,223 MB,204 MB,11 MB,1500000
orders,o_od,427 MB,223 MB,204 MB,10 MB,1500000
orders,o_tp,427 MB,223 MB,204 MB,45 MB,1500000
part,part_pkey,64 MB,31 MB,32 MB,4408 kB,200000
part,idx_part_p_comment,64 MB,31 MB,32 MB,5320 kB,200000
part,idx_part_p_container,64 MB,31 MB,32 MB,1424 kB,200000
part,idx_part_p_type,64 MB,31 MB,32 MB,1488 kB,200000
part,idx_part_p_brand,64 MB,31 MB,32 MB,1416 kB,200000
part,idx_part_p_mfgr,64 MB,31 MB,32 MB,1424 kB,200000
part,idx_part_p_name,64 MB,31 MB,32 MB,11 MB,200000
part,p_rp,64 MB,31 MB,32 MB,4416 kB,200000
part,p_s,64 MB,31 MB,32 MB,1392 kB,200000
partsupp,idx_partsupp_ps_supplycost,302 MB,165 MB,137 MB,17 MB,800000
partsupp,partsupp_pkey,302 MB,165 MB,137 MB,17 MB,800000
partsupp,ps_avqt,302 MB,165 MB,137 MB,5488 kB,800000
partsupp,idx_partsupp_ps_comment,302 MB,165 MB,137 MB,125 MB,800000
region,region_pkey,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_name,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_comment,56 kB,48 kB,8192 bytes,16 kB,5
supplier,idx_supplier_s_address,4504 kB,2688 kB,1784 kB,472 kB,10000
supplier,idx_supplier_s_name,4504 kB,2688 kB,1784 kB,504 kB,10000
supplier,s_actb,4504 kB,2688 kB,1784 kB,240 kB,10000
supplier,idx_supplier_s_comment,4504 kB,2688 kB,1784 kB,904 kB,10000
supplier,supplier_pkey,4504 kB,2688 kB,1784 kB,240 kB,10000
supplier,idx_supplier_s_phone,4504 kB,2688 kB,1784 kB,328 kB,10000
(52 rows)
