Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,c_nk,68 MB,40 MB,28 MB,1040 kB,150000
customer,idx_customer_c_phone,68 MB,40 MB,28 MB,4640 kB,150000
customer,idx_customer_c_address,68 MB,40 MB,28 MB,6888 kB,150000
customer,idx_customer_c_name,68 MB,40 MB,28 MB,5968 kB,150000
customer,customer_pkey,68 MB,40 MB,28 MB,3312 kB,150000
customer,idx_customer_c_mktsegment,68 MB,40 MB,28 MB,1048 kB,150000
customer,idx_customer_c_comment,68 MB,40 MB,28 MB,15 MB,150000
customer,c_ck,68 MB,40 MB,28 MB,3312 kB,150000
lineitem,idx_lineitem_l_shipinstruct,1686 MB,806 MB,880 MB,41 MB,6001215
lineitem,idx_lineitem_l_shipmode,1686 MB,806 MB,880 MB,40 MB,6001215
lineitem,l_pk_sk,1686 MB,806 MB,880 MB,58 MB,6001215
lineitem,idx_lineitem_l_comment,1686 MB,806 MB,880 MB,242 MB,6001215
lineitem,l_sk,1686 MB,806 MB,880 MB,41 MB,6001215
lineitem,l_pk,1686 MB,806 MB,880 MB,43 MB,6001215
lineitem,l_ok,1686 MB,806 MB,880 MB,74 MB,6001215
lineitem,idx_lineitem_l_linestatus,1686 MB,806 MB,880 MB,40 MB,6001215
lineitem,lineitem_pkey,1686 MB,806 MB,880 MB,129 MB,6001215
lineitem,idx_lineitem_l_returnflag,1686 MB,806 MB,880 MB,40 MB,6001215
lineitem,l_sk_pk,1686 MB,806 MB,880 MB,58 MB,6001215
nation,idx_nation_n_comment,88 kB,80 kB,8192 bytes,16 kB,25
nation,n_nk,88 kB,80 kB,8192 bytes,16 kB,25
nation,n_rk,88 kB,80 kB,8192 bytes,16 kB,25
nation,nation_pkey,88 kB,80 kB,8192 bytes,16 kB,25
nation,idx_nation_n_name,88 kB,80 kB,8192 bytes,16 kB,25
orders,o_ok,416 MB,212 MB,204 MB,32 MB,1500000
orders,idx_orders_o_orderstatus,416 MB,212 MB,204 MB,10176 kB,1500000
orders,idx_orders_o_orderpriority,416 MB,212 MB,204 MB,10 MB,1500000
orders,idx_orders_o_clerk,416 MB,212 MB,204 MB,11 MB,1500000
orders,idx_orders_o_comment,416 MB,212 MB,204 MB,105 MB,1500000
orders,orders_pkey,416 MB,212 MB,204 MB,32 MB,1500000
orders,o_ck,416 MB,212 MB,204 MB,12 MB,1500000
part,idx_part_p_container,62 MB,30 MB,32 MB,1424 kB,200000
part,part_pkey,62 MB,30 MB,32 MB,4408 kB,200000
part,p_pk,62 MB,30 MB,32 MB,4408 kB,200000
part,idx_part_p_name,62 MB,30 MB,32 MB,11 MB,200000
part,idx_part_p_mfgr,62 MB,30 MB,32 MB,1424 kB,200000
part,idx_part_p_brand,62 MB,30 MB,32 MB,1416 kB,200000
part,idx_part_p_type,62 MB,30 MB,32 MB,1488 kB,200000
part,idx_part_p_comment,62 MB,30 MB,32 MB,5320 kB,200000
partsupp,ps_pk_sk,346 MB,209 MB,137 MB,17 MB,800000
partsupp,ps_pk,346 MB,209 MB,137 MB,9640 kB,800000
partsupp,idx_partsupp_ps_supplycost,346 MB,209 MB,137 MB,17 MB,800000
partsupp,idx_partsupp_ps_comment,346 MB,209 MB,137 MB,125 MB,800000
partsupp,partsupp_pkey,346 MB,209 MB,137 MB,17 MB,800000
partsupp,ps_sk_pk,346 MB,209 MB,137 MB,17 MB,800000
partsupp,ps_sk,346 MB,209 MB,137 MB,5376 kB,800000
region,idx_region_r_comment,72 kB,64 kB,8192 bytes,16 kB,5
region,r_rk,72 kB,64 kB,8192 bytes,16 kB,5
region,idx_region_r_name,72 kB,64 kB,8192 bytes,16 kB,5
region,region_pkey,72 kB,64 kB,8192 bytes,16 kB,5
supplier,supplier_pkey,4592 kB,2776 kB,1784 kB,240 kB,10000
supplier,idx_supplier_s_comment,4592 kB,2776 kB,1784 kB,904 kB,10000
supplier,idx_supplier_s_address,4592 kB,2776 kB,1784 kB,472 kB,10000
supplier,idx_supplier_s_name,4592 kB,2776 kB,1784 kB,504 kB,10000
supplier,s_nk,4592 kB,2776 kB,1784 kB,88 kB,10000
supplier,s_sk,4592 kB,2776 kB,1784 kB,240 kB,10000
supplier,idx_supplier_s_phone,4592 kB,2776 kB,1784 kB,328 kB,10000
(57 rows)
