Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,c_ck,72 MB,43 MB,28 MB,3312 kB,150000
customer,idx_customer_c_name,72 MB,43 MB,28 MB,5968 kB,150000
customer,c_nk,72 MB,43 MB,28 MB,1040 kB,150000
customer,idx_customer_c_comment,72 MB,43 MB,28 MB,15 MB,150000
customer,idx_customer_c_mktsegment,72 MB,43 MB,28 MB,1048 kB,150000
customer,idx_customer_c_phone,72 MB,43 MB,28 MB,4640 kB,150000
customer,idx_customer_c_address,72 MB,43 MB,28 MB,6888 kB,150000
customer,c_acb,72 MB,43 MB,28 MB,3312 kB,150000
customer,customer_pkey,72 MB,43 MB,28 MB,3312 kB,150000
lineitem,l_tax,2244 MB,1364 MB,880 MB,129 MB,6001215
lineitem,l_extp,2244 MB,1364 MB,880 MB,172 MB,6001215
lineitem,idx_lineitem_l_shipinstruct,2244 MB,1364 MB,880 MB,41 MB,6001215
lineitem,l_q,2244 MB,1364 MB,880 MB,129 MB,6001215
lineitem,lineitem_pkey,2244 MB,1364 MB,880 MB,129 MB,6001215
lineitem,idx_lineitem_l_linestatus,2244 MB,1364 MB,880 MB,40 MB,6001215
lineitem,idx_lineitem_l_returnflag,2244 MB,1364 MB,880 MB,40 MB,6001215
lineitem,l_pk,2244 MB,1364 MB,880 MB,43 MB,6001215
lineitem,l_sk,2244 MB,1364 MB,880 MB,41 MB,6001215
lineitem,l_pk_sk,2244 MB,1364 MB,880 MB,58 MB,6001215
lineitem,l_sk_pk,2244 MB,1364 MB,880 MB,58 MB,6001215
lineitem,l_disc,2244 MB,1364 MB,880 MB,129 MB,6001215
lineitem,idx_lineitem_l_comment,2244 MB,1364 MB,880 MB,242 MB,6001215
lineitem,idx_lineitem_l_shipmode,2244 MB,1364 MB,880 MB,40 MB,6001215
lineitem,l_ok,2244 MB,1364 MB,880 MB,74 MB,6001215
nation,n_rk,88 kB,80 kB,8192 bytes,16 kB,25
nation,idx_nation_n_comment,88 kB,80 kB,8192 bytes,16 kB,25
nation,n_nk,88 kB,80 kB,8192 bytes,16 kB,25
nation,nation_pkey,88 kB,80 kB,8192 bytes,16 kB,25
nation,idx_nation_n_name,88 kB,80 kB,8192 bytes,16 kB,25
orders,idx_orders_o_orderstatus,461 MB,257 MB,204 MB,10176 kB,1500000
orders,orders_pkey,461 MB,257 MB,204 MB,32 MB,1500000
orders,o_ok,461 MB,257 MB,204 MB,32 MB,1500000
orders,o_ck,461 MB,257 MB,204 MB,12 MB,1500000
orders,o_tp,461 MB,257 MB,204 MB,45 MB,1500000
orders,idx_orders_o_orderpriority,461 MB,257 MB,204 MB,10 MB,1500000
orders,idx_orders_o_clerk,461 MB,257 MB,204 MB,11 MB,1500000
orders,idx_orders_o_comment,461 MB,257 MB,204 MB,105 MB,1500000
part,p_pk,68 MB,36 MB,32 MB,4408 kB,200000
part,part_pkey,68 MB,36 MB,32 MB,4408 kB,200000
part,p_rp,68 MB,36 MB,32 MB,4416 kB,200000
part,p_s,68 MB,36 MB,32 MB,1392 kB,200000
part,idx_part_p_name,68 MB,36 MB,32 MB,11 MB,200000
part,idx_part_p_mfgr,68 MB,36 MB,32 MB,1424 kB,200000
part,idx_part_p_brand,68 MB,36 MB,32 MB,1416 kB,200000
part,idx_part_p_type,68 MB,36 MB,32 MB,1488 kB,200000
part,idx_part_p_container,68 MB,36 MB,32 MB,1424 kB,200000
part,idx_part_p_comment,68 MB,36 MB,32 MB,5320 kB,200000
partsupp,idx_partsupp_ps_comment,351 MB,214 MB,137 MB,125 MB,800000
partsupp,ps_sk_pk,351 MB,214 MB,137 MB,17 MB,800000
partsupp,idx_partsupp_ps_supplycost,351 MB,214 MB,137 MB,17 MB,800000
partsupp,ps_pk_sk,351 MB,214 MB,137 MB,17 MB,800000
partsupp,ps_sk,351 MB,214 MB,137 MB,5376 kB,800000
partsupp,ps_pk,351 MB,214 MB,137 MB,9640 kB,800000
partsupp,partsupp_pkey,351 MB,214 MB,137 MB,17 MB,800000
partsupp,ps_avqt,351 MB,214 MB,137 MB,5488 kB,800000
region,idx_region_r_comment,72 kB,64 kB,8192 bytes,16 kB,5
region,region_pkey,72 kB,64 kB,8192 bytes,16 kB,5
region,idx_region_r_name,72 kB,64 kB,8192 bytes,16 kB,5
region,r_rk,72 kB,64 kB,8192 bytes,16 kB,5
supplier,s_actb,4832 kB,3016 kB,1784 kB,240 kB,10000
supplier,supplier_pkey,4832 kB,3016 kB,1784 kB,240 kB,10000
supplier,idx_supplier_s_phone,4832 kB,3016 kB,1784 kB,328 kB,10000
supplier,idx_supplier_s_comment,4832 kB,3016 kB,1784 kB,904 kB,10000
supplier,idx_supplier_s_address,4832 kB,3016 kB,1784 kB,472 kB,10000
supplier,s_nk,4832 kB,3016 kB,1784 kB,88 kB,10000
supplier,s_sk,4832 kB,3016 kB,1784 kB,240 kB,10000
supplier,idx_supplier_s_name,4832 kB,3016 kB,1784 kB,504 kB,10000
(67 rows)
