Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,c_nk,137 MB,80 MB,57 MB,2064 kB,300000
customer,idx_customer_c_phone,137 MB,80 MB,57 MB,9264 kB,300000
customer,idx_customer_c_address,137 MB,80 MB,57 MB,13 MB,300000
customer,idx_customer_c_name,137 MB,80 MB,57 MB,12 MB,300000
customer,customer_pkey,137 MB,80 MB,57 MB,6600 kB,300000
customer,idx_customer_c_mktsegment,137 MB,80 MB,57 MB,2088 kB,300000
customer,idx_customer_c_comment,137 MB,80 MB,57 MB,29 MB,300000
customer,c_ck,137 MB,80 MB,57 MB,6600 kB,300000
lineitem,idx_lineitem_l_shipinstruct,3350 MB,1591 MB,1758 MB,82 MB,11997996
lineitem,idx_lineitem_l_shipmode,3350 MB,1591 MB,1758 MB,81 MB,11997996
lineitem,l_pk_sk,3350 MB,1591 MB,1758 MB,116 MB,11997996
lineitem,idx_lineitem_l_comment,3350 MB,1591 MB,1758 MB,465 MB,11997996
lineitem,l_sk,3350 MB,1591 MB,1758 MB,81 MB,11997996
lineitem,l_pk,3350 MB,1591 MB,1758 MB,86 MB,11997996
lineitem,l_ok,3350 MB,1591 MB,1758 MB,149 MB,11997996
lineitem,idx_lineitem_l_linestatus,3350 MB,1591 MB,1758 MB,79 MB,11997996
lineitem,lineitem_pkey,3350 MB,1591 MB,1758 MB,257 MB,11997996
lineitem,idx_lineitem_l_returnflag,3350 MB,1591 MB,1758 MB,79 MB,11997996
lineitem,l_sk_pk,3350 MB,1591 MB,1758 MB,116 MB,11997996
nation,idx_nation_n_comment,88 kB,80 kB,8192 bytes,16 kB,25
nation,n_nk,88 kB,80 kB,8192 bytes,16 kB,25
nation,n_rk,88 kB,80 kB,8192 bytes,16 kB,25
nation,nation_pkey,88 kB,80 kB,8192 bytes,16 kB,25
nation,idx_nation_n_name,88 kB,80 kB,8192 bytes,16 kB,25
orders,o_ok,831 MB,423 MB,408 MB,64 MB,3000000
orders,idx_orders_o_orderstatus,831 MB,423 MB,408 MB,20 MB,3000000
orders,idx_orders_o_orderpriority,831 MB,423 MB,408 MB,20 MB,3000000
orders,idx_orders_o_clerk,831 MB,423 MB,408 MB,21 MB,3000000
orders,idx_orders_o_comment,831 MB,423 MB,408 MB,209 MB,3000000
orders,orders_pkey,831 MB,423 MB,408 MB,64 MB,3000000
orders,o_ck,831 MB,423 MB,408 MB,24 MB,3000000
part,idx_part_p_container,123 MB,59 MB,64 MB,2792 kB,400000
part,part_pkey,123 MB,59 MB,64 MB,8792 kB,400000
part,p_pk,123 MB,59 MB,64 MB,8792 kB,400000
part,idx_part_p_name,123 MB,59 MB,64 MB,21 MB,400000
part,idx_part_p_mfgr,123 MB,59 MB,64 MB,2832 kB,400000
part,idx_part_p_brand,123 MB,59 MB,64 MB,2792 kB,400000
part,idx_part_p_type,123 MB,59 MB,64 MB,2864 kB,400000
part,idx_part_p_comment,123 MB,59 MB,64 MB,9832 kB,400000
partsupp,ps_pk_sk,691 MB,417 MB,274 MB,34 MB,1600000
partsupp,ps_pk,691 MB,417 MB,274 MB,19 MB,1600000
partsupp,idx_partsupp_ps_supplycost,691 MB,417 MB,274 MB,34 MB,1600000
partsupp,idx_partsupp_ps_comment,691 MB,417 MB,274 MB,250 MB,1600000
partsupp,partsupp_pkey,691 MB,417 MB,274 MB,34 MB,1600000
partsupp,ps_sk_pk,691 MB,417 MB,274 MB,34 MB,1600000
partsupp,ps_sk,691 MB,417 MB,274 MB,10 MB,1600000
region,idx_region_r_comment,72 kB,64 kB,8192 bytes,16 kB,5
region,r_rk,72 kB,64 kB,8192 bytes,16 kB,5
region,idx_region_r_name,72 kB,64 kB,8192 bytes,16 kB,5
region,region_pkey,72 kB,64 kB,8192 bytes,16 kB,5
supplier,supplier_pkey,9216 kB,5408 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_comment,9216 kB,5408 kB,3776 kB,1792 kB,20000
supplier,idx_supplier_s_address,9216 kB,5408 kB,3776 kB,928 kB,20000
supplier,idx_supplier_s_name,9216 kB,5408 kB,3776 kB,984 kB,20000
supplier,s_nk,9216 kB,5408 kB,3776 kB,160 kB,20000
supplier,s_sk,9216 kB,5408 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_phone,9216 kB,5408 kB,3776 kB,632 kB,20000
(57 rows)
