all,dates_text,dates,no_index,numbers_dates,numbers_text,numbers,text,default_index
191.1,187.0,189.20000000000002,187.1,188.2,190.5,187.0,186.79999999999998,187.79999999999998
199.5,197.90000000000003,195.3,147.6,196.1,202.4,195.9,193.6,197.5
194.0,192.9,192.3,191.9,191.20000000000002,195.2,190.1,193.70000000000005,188.8
167.4,166.40000000000003,181.1,188.39999999999998,173.7,186.70000000000002,188.29999999999998,185.60000000000002,186.79999999999998
201.30000000000004,200.70000000000002,201.7,196.0,195.10000000000002,195.6,198.60000000000002,191.39999999999998,201.6
186.2,181.8,183.1,184.4,177.8,183.1,185.20000000000002,185.70000000000005,185.70000000000002
199.90000000000003,202.3,194.3,192.0,196.5,199.3,197.70000000000002,196.1,201.1
207.39999999999998,201.70000000000005,203.5,195.0,198.80000000000004,201.2,202.59999999999997,204.3,201.40000000000003
204.4,191.6,203.5,198.70000000000002,188.7,200.50000000000003,205.1,179.10000000000002,198.20000000000002
200.1,194.9,195.2,191.8,197.2,195.1,197.40000000000003,190.20000000000002,194.3
134.80000000000004,138.79999999999998,137.9,139.30000000000004,138.5,138.3,137.0,136.79999999999998,135.9
188.5,189.2,187.4,190.70000000000002,187.0,187.29999999999998,185.70000000000005,190.70000000000002,186.9
187.29999999999998,190.8,187.39999999999998,190.1,180.79999999999998,187.20000000000002,187.29999999999995,187.89999999999998,185.70000000000005
183.29999999999995,190.29999999999998,189.39999999999998,183.6,187.79999999999998,187.20000000000002,184.2,185.6,184.70000000000002
197.7,196.0,196.9,191.60000000000002,195.60000000000002,190.49999999999997,190.3,197.1,191.20000000000002
148.19999999999996,143.6,143.20000000000002,145.50000000000003,145.7,145.29999999999998,146.29999999999998,144.39999999999998,141.4
192.20000000000002,183.7,184.60000000000002,187.50000000000003,187.79999999999998,188.70000000000002,191.60000000000002,183.4,187.20000000000002
197.50000000000003,197.3,191.9,189.20000000000002,200.20000000000002,193.8,193.2,194.7,186.0
149.7,147.7,144.2,190.1,149.29999999999998,150.1,145.09999999999997,147.1,191.3
189.39999999999998,192.0,193.1,191.80000000000004,188.2,191.39999999999998,191.9,191.20000000000002,193.5
199.0,196.39999999999998,195.3,197.0,197.70000000000002,199.0,197.80000000000004,196.5,196.5
143.69999999999996,143.7,143.5,145.1,140.7,143.5,142.79999999999998,143.7,139.99999999999997
