Table Name,Index Name,Total Size,Total Size of all Indexes,Table Size,Index Size,Estimated table row count
customer,idx_customer_c_phone,128 MB,72 MB,57 MB,9264 kB,300000
customer,idx_customer_c_address,128 MB,72 MB,57 MB,13 MB,300000
customer,idx_customer_c_name,128 MB,72 MB,57 MB,12 MB,300000
customer,customer_pkey,128 MB,72 MB,57 MB,6600 kB,300000
customer,idx_customer_c_comment,128 MB,72 MB,57 MB,29 MB,300000
customer,idx_customer_c_mktsegment,128 MB,72 MB,57 MB,2088 kB,300000
lineitem,idx_lineitem_l_comment,3043 MB,1284 MB,1758 MB,465 MB,11997996
lineitem,lineitem_pkey,3043 MB,1284 MB,1758 MB,257 MB,11997996
lineitem,idx_lineitem_l_shipmode,3043 MB,1284 MB,1758 MB,81 MB,11997996
lineitem,idx_lineitem_l_shipinstruct,3043 MB,1284 MB,1758 MB,82 MB,11997996
lineitem,idx_lineitem_l_linestatus,3043 MB,1284 MB,1758 MB,79 MB,11997996
lineitem,l_rd,3043 MB,1284 MB,1758 MB,80 MB,11997996
lineitem,l_cd,3043 MB,1284 MB,1758 MB,80 MB,11997996
lineitem,l_sd,3043 MB,1284 MB,1758 MB,80 MB,11997996
lineitem,idx_lineitem_l_returnflag,3043 MB,1284 MB,1758 MB,79 MB,11997996
nation,idx_nation_n_name,56 kB,48 kB,8192 bytes,16 kB,25
nation,nation_pkey,56 kB,48 kB,8192 bytes,16 kB,25
nation,idx_nation_n_comment,56 kB,48 kB,8192 bytes,16 kB,25
orders,o_od,764 MB,355 MB,408 MB,21 MB,3000000
orders,orders_pkey,764 MB,355 MB,408 MB,64 MB,3000000
orders,idx_orders_o_comment,764 MB,355 MB,408 MB,209 MB,3000000
orders,idx_orders_o_clerk,764 MB,355 MB,408 MB,21 MB,3000000
orders,idx_orders_o_orderpriority,764 MB,355 MB,408 MB,20 MB,3000000
orders,idx_orders_o_orderstatus,764 MB,355 MB,408 MB,20 MB,3000000
part,part_pkey,115 MB,50 MB,64 MB,8792 kB,400000
part,idx_part_p_comment,115 MB,50 MB,64 MB,9832 kB,400000
part,idx_part_p_container,115 MB,50 MB,64 MB,2792 kB,400000
part,idx_part_p_type,115 MB,50 MB,64 MB,2864 kB,400000
part,idx_part_p_brand,115 MB,50 MB,64 MB,2792 kB,400000
part,idx_part_p_mfgr,115 MB,50 MB,64 MB,2832 kB,400000
part,idx_part_p_name,115 MB,50 MB,64 MB,21 MB,400000
partsupp,idx_partsupp_ps_supplycost,593 MB,319 MB,274 MB,34 MB,1600000
partsupp,partsupp_pkey,593 MB,319 MB,274 MB,34 MB,1600000
partsupp,idx_partsupp_ps_comment,593 MB,319 MB,274 MB,250 MB,1600000
region,region_pkey,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_comment,56 kB,48 kB,8192 bytes,16 kB,5
region,idx_region_r_name,56 kB,48 kB,8192 bytes,16 kB,5
supplier,idx_supplier_s_phone,8600 kB,4792 kB,3776 kB,632 kB,20000
supplier,idx_supplier_s_address,8600 kB,4792 kB,3776 kB,928 kB,20000
supplier,supplier_pkey,8600 kB,4792 kB,3776 kB,456 kB,20000
supplier,idx_supplier_s_comment,8600 kB,4792 kB,3776 kB,1792 kB,20000
supplier,idx_supplier_s_name,8600 kB,4792 kB,3776 kB,984 kB,20000
(42 rows)
